month,total.total,timeRange.start,timeRange.end
2008-07-14T00:00:00.000Z,337028852,2008-07-14T00:00:00.000Z,2008-07-15T00:00:00.000Z
2008-07-15T00:00:00.000Z,327082720,2008-07-15T00:00:00.000Z,2008-07-16T00:00:00.000Z
2008-07-16T00:00:00.000Z,324736082,2008-07-16T00:00:00.000Z,2008-07-17T00:00:00.000Z
2008-07-17T00:00:00.000Z,325522145,2008-07-17T00:00:00.000Z,2008-07-18T00:00:00.000Z
2008-07-18T00:00:00.000Z,307433257,2008-07-18T00:00:00.000Z,2008-07-19T00:00:00.000Z
2008-07-19T00:00:00.000Z,251811766,2008-07-19T00:00:00.000Z,2008-07-20T00:00:00.000Z
2008-07-20T00:00:00.000Z,268558260,2008-07-20T00:00:00.000Z,2008-07-21T00:00:00.000Z
2008-07-21T00:00:00.000Z,336305422,2008-07-21T00:00:00.000Z,2008-07-22T00:00:00.000Z
2008-07-22T00:00:00.000Z,338889398,2008-07-22T00:00:00.000Z,2008-07-23T00:00:00.000Z
2008-07-23T00:00:00.000Z,329169862,2008-07-23T00:00:00.000Z,2008-07-24T00:00:00.000Z
2008-07-24T00:00:00.000Z,318046119,2008-07-24T00:00:00.000Z,2008-07-25T00:00:00.000Z
2008-07-25T00:00:00.000Z,303946656,2008-07-25T00:00:00.000Z,2008-07-26T00:00:00.000Z
2008-07-26T00:00:00.000Z,264288674,2008-07-26T00:00:00.000Z,2008-07-27T00:00:00.000Z
2008-07-27T00:00:00.000Z,278735354,2008-07-27T00:00:00.000Z,2008-07-28T00:00:00.000Z
2008-07-28T00:00:00.000Z,334790185,2008-07-28T00:00:00.000Z,2008-07-29T00:00:00.000Z
2008-07-29T00:00:00.000Z,331164192,2008-07-29T00:00:00.000Z,2008-07-30T00:00:00.000Z
2008-07-30T00:00:00.000Z,321729831,2008-07-30T00:00:00.000Z,2008-07-31T00:00:00.000Z
2008-07-31T00:00:00.000Z,306203621,2008-07-31T00:00:00.000Z,2008-08-01T00:00:00.000Z
2008-08-01T00:00:00.000Z,295487082,2008-08-01T00:00:00.000Z,2008-08-02T00:00:00.000Z
2008-08-02T00:00:00.000Z,259794147,2008-08-02T00:00:00.000Z,2008-08-03T00:00:00.000Z
2008-08-03T00:00:00.000Z,278583870,2008-08-03T00:00:00.000Z,2008-08-04T00:00:00.000Z
2008-08-04T00:00:00.000Z,330748937,2008-08-04T00:00:00.000Z,2008-08-05T00:00:00.000Z
2008-08-05T00:00:00.000Z,331936391,2008-08-05T00:00:00.000Z,2008-08-06T00:00:00.000Z
2008-08-06T00:00:00.000Z,319725403,2008-08-06T00:00:00.000Z,2008-08-07T00:00:00.000Z
2008-08-07T00:00:00.000Z,320916280,2008-08-07T00:00:00.000Z,2008-08-08T00:00:00.000Z
2008-08-08T00:00:00.000Z,310087326,2008-08-08T00:00:00.000Z,2008-08-09T00:00:00.000Z
2008-08-09T00:00:00.000Z,272038095,2008-08-09T00:00:00.000Z,2008-08-10T00:00:00.000Z
2008-08-10T00:00:00.000Z,289635632,2008-08-10T00:00:00.000Z,2008-08-11T00:00:00.000Z
2008-08-11T00:00:00.000Z,341942039,2008-08-11T00:00:00.000Z,2008-08-12T00:00:00.000Z
2008-08-12T00:00:00.000Z,341469831,2008-08-12T00:00:00.000Z,2008-08-13T00:00:00.000Z
2008-08-13T00:00:00.000Z,335920044,2008-08-13T00:00:00.000Z,2008-08-14T00:00:00.000Z
2008-08-14T00:00:00.000Z,325253684,2008-08-14T00:00:00.000Z,2008-08-15T00:00:00.000Z
2008-08-15T00:00:00.000Z,303602227,2008-08-15T00:00:00.000Z,2008-08-16T00:00:00.000Z
